"CombinedFishingProductivity","SpeciesCode","","GuildCode"
"","","0",""
"","CH.VAND","9","ZP"
"","LU.GIBB","1","Pi"
"","LU.KASM","3","Pi"
"","PA.FORS","1","Pi"
"","PA.INSU","2","BI"
"","PS.COOP","2","ZP"
"","PS.DISP","3","ZP"
"","PS.OLIV","6","ZP"
"EXTRA","ACA NIGC","1",""
"EXTRA","MO.GRAN","1","BI"
"EXTRA","PL.DICK","1","Om"
"EXTRA","PL.JOHN","1","BI"
"HP.HF","AC.NIGC","1","HeZP"
"HP.HF","AC.NIGR","3","He"
"HP.HF","AC.OLIV","6","De"
"HP.HF","AC.TRIOS","4",""
"HP.HF","ACAN.SP","1","He"
"HP.HF","AP.FURC","3","Pi"
"HP.HF","CA.FERD","1","AP"
"HP.HF","CA.MELA","2","AP"
"HP.HF","CA.ORTH","1","AP"
"HP.HF","CE.ARGU","10","AP"
"HP.HF","CE.FLAV","3","He"
"HP.HF","CE.LORI","2","He"
"HP.HF","CE.UROD","8","Pi"
"HP.HF","CH.AURI","13","BI"
"HP.HF","CH.MARG","1","ZP"
"HP.HF","CH.MEYE","1","BI"
"HP.HF","CH.ORNA","15","C"
"HP.HF","CH.SORD","11","He"
"HP.HF","CH.VAND","25","ZP"
"HP.HF","CI.OXYC","1","BI"
"HP.HF","CT.MARG","20","De"
"HP.HF","GN.AURE","1","BI"
"HP.HF","LU.BOHA","5","AP"
"HP.HF","ME.NIGE","8","ZP"
"HP.HF","MO.GRAN","13","BI"
"HP.HF","PA.ARCA","9","BI"
"HP.HF","PA.INSU","20","BI"
"HP.HF","PL.DICK","2","Om"
"HP.HF","PS.BART","2","ZP"
"HP.HF","PS.COOP","4","ZP"
"HP.HF","PS.DISP","11","ZP"
"HP.HF","PS.OLIV","37","ZP"
"HP.HF","PT.TILE","14","ZP"
"HP.HF","SC.FREN","1","He"
"HP.HF","SC.RUBR","9","He"
"HP.HF","VA.LOUT","3","AP"
"HP.LF","AC.NIGR","5","He"
"HP.LF","AP.FURC","12","Pi"
"HP.LF","CA.MELA","4","AP"
"HP.LF","CE.FLAV","2","He"
"HP.LF","CE.LORI","11","He"
"HP.LF","CE.UROD","4","Pi"
"HP.LF","CH.AURI","10","BI"
"HP.LF","CH.MARG","1","ZP"
"HP.LF","CH.MEYE","1","BI"
"HP.LF","CH.ORNA","19","C"
"HP.LF","CH.SORD","13","He"
"HP.LF","CT.MARG","12","De"
"HP.LF","CT.STRI","3","De"
"HP.LF","LU.BOHA","4","AP"
"HP.LF","ME.NIGE","15","ZP"
"HP.LF","MO.GRAN","16","BI"
"HP.LF","PA.ARCA","4","BI"
"HP.LF","PA.INSU","15","BI"
"HP.LF","PS.DISP","11","ZP"
"HP.LF","PS.OLIV","31","ZP"
"HP.LF","PS.PASC","1",""
"HP.LF","PT.TILE","4","ZP"
"HP.LF","SC.FREN","10","He"
"HP.LF","ST.AURE","1","He"
"HP.MF","AC.NIGR","14","He"
"HP.MF","AC.OLIV","1","De"
"HP.MF","AP.FURC","1","Pi"
"HP.MF","AP.VIRE","2","AP"
"HP.MF","CE.ARGU","4","AP"
"HP.MF","CE.FLAV","6","He"
"HP.MF","CE.LORI","5","He"
"HP.MF","CE.UROD","13","Pi"
"HP.MF","CH.AURI","12","BI"
"HP.MF","CH.MARG","2","ZP"
"HP.MF","CH.ORNA","11","C"
"HP.MF","CH.SORD","19","He"
"HP.MF","CH.VAIG","1","BI"
"HP.MF","CH.VAND","12","ZP"
"HP.MF","CT.MARG","11","De"
"HP.MF","LE.OLIV","1","AP"
"HP.MF","LU.BOHA","15","AP"
"HP.MF","LU.KASM","1","Pi"
"HP.MF","ME.NIGE","1","ZP"
"HP.MF","MO.GRAN","17","BI"
"HP.MF","MU.MIMI","1","BI"
"HP.MF","PA.ARCA","12","BI"
"HP.MF","PA.INSU","20","BI"
"HP.MF","PL.DICK","19","Om"
"HP.MF","PS.BART","8","ZP"
"HP.MF","PS.DISP","2","ZP"
"HP.MF","PS.FLAV","2","BI"
"HP.MF","PS.OLIV","17","ZP"
"HP.MF","PT.TILE","2","ZP"
"HP.MF","SC.FREN","13","He"
"HP.MF","SC.RUBR","1","He"
"HP.MF","VA.LOUT","3","AP"
"LP.LF","","0",""
"LP.LF","AP.FURC","9","Pi"
"LP.LF","CA.IGNO","1","AP"
"LP.LF","CA.MELA","6","AP"
"LP.LF","CA.TERE","20","ZP"
"LP.LF","CE.ARGU","5","AP"
"LP.LF","CE.UROD","20","Pi"
"LP.LF","CH.AURI","3","BI"
"LP.LF","CH.ORNA","9","C"
"LP.LF","CH.SORD","14","He"
"LP.LF","CH.VAND","10","ZP"
"LP.LF","CT.MARG","16","De"
"LP.LF","LU.BOHA","17","AP"
"LP.LF","ME.NIGE","9","ZP"
"LP.LF","MO.GRAN","5","BI"
"LP.LF","PA.INSU","13","BI"
"LP.LF","PL.DICK","1","Om"
"LP.LF","PS.BART","2","ZP"
"LP.LF","PS.OLIV","20","ZP"
"LP.LF","PT.TILE","9","ZP"
"LP.LF","SC.FREN","12","He"
"LP.LF","VA.LOUT","2","AP"
"LP.MF","AC.NIGR","5","He"
"LP.MF","ACA NIGC","1",""
"LP.MF","AP.FURC","12","Pi"
"LP.MF","CA.MELA","2","AP"
"LP.MF","CA.ORTH","1","AP"
"LP.MF","CA.TERE","5","ZP"
"LP.MF","CE.ARGU","5","AP"
"LP.MF","CE.FLAV","10","He"
"LP.MF","CE.LORI","2","He"
"LP.MF","CE.UROD","5","Pi"
"LP.MF","CH.AURI","10","BI"
"LP.MF","CH.ORNA","19","C"
"LP.MF","CH.SORD","21","He"
"LP.MF","CH.VAND","7","ZP"
"LP.MF","CT.MARG","18","De"
"LP.MF","LU.BOHA","13","AP"
"LP.MF","ME.NIGE","19","ZP"
"LP.MF","MO.GRAN","18","BI"
"LP.MF","PA.ARCA","2","BI"
"LP.MF","PA.INSU","28","BI"
"LP.MF","PL.DICK","1","Om"
"LP.MF","PS.BART","3","ZP"
"LP.MF","PS.DISP","4","ZP"
"LP.MF","PS.OLIV","23","ZP"
"LP.MF","PT.TILE","11","ZP"
"LP.MF","SC.FREN","21","He"
"LP.MF","VA.LOUT","4","AP"