group,elev,slp_test,slope,lower,upper,slp_p_val,xy_r2,xy_cor,n,from,to,allometry,sig,gape
CA.MELA,-0.793291702081499,1,0.954374053278491,0.751931542139435,1.21132015685853,0.674559534052002,0.933811057455998,3.21635357014571e-07,12,173.397748636898,588.193689344629,I,*,GH
AP.FURC,-0.489989796057425,1,0.932473919997139,0.748108230556942,1.16227515746954,0.526267416153412,0.554785439579623,1.89410877426965e-07,36,195.642347352694,287.603180772629,I,*,GH
LU.BOHA,-0.228958088469282,1,0.809131974438704,0.737791080983504,0.887371193463524,3.10102964855563e-05,0.888269401591293,0,45,112.822980104536,543.087004974464,N,*,GH
CE.ARGU,-0.477258844490267,1,0.954577811953222,0.583303605295402,1.56216898164367,0.85220392028058,0.211942727527039,0.02706606960669,23,175.365910068007,353.000575191268,I,*,GH
CE.UROD,-0.477998788134286,1,0.949695389585722,0.760438841773484,1.18605374088589,0.643298140802191,0.786676312204831,5.6399329650958e-14,39,64.4874577516952,179.380016912496,I,*,GH
VA.LOUT,-0.089751519946182,1,0.774281238063568,0.597310016363366,1.00368555556341,0.0528097006583581,0.874156339066117,8.21063729006255e-06,12,153.140946695603,569.073258468754,I,*,GH
PA.ARCA,-0.306249252896176,1,0.817962877573218,0.636120374618462,1.05178720220863,0.112915910165145,0.431841179529238,0.00048521364523868,24,41.7193816878542,92.9869385795492,I,*,GH
MO.GRAN,-2.02707697292009,1,1.55797096081111,1.3034045307996,1.86225646556686,3.22742291603006e-06,0.650723648615435,4.44089209850063e-16,66,122.398888081403,301.126673413745,P,*,GH
PA.INSU,-0.747695869373494,1,0.953550040237422,0.835609471677919,1.08813711435197,0.476850149689295,0.735055816445572,0,86,39.9358858574479,275.695459871556,I,*,GH
CA.TERE,-0.400012218960007,1,0.759143775802533,0.572808717935987,1.00609375223254,0.0548198081400102,0.629961513415455,6.19565251813725e-06,23,122.638302413056,266.149664669121,I,*,GH
PT.TILE,-1.13827525572894,1,1.07084652516936,0.903504198132203,1.26918312370643,0.419841155821124,0.720986798116124,2.19880558205432e-10,34,63.1905141754413,202.881804415846,I,*,GH
CH.VAND,-1.41749693639838,1,1.26503266731511,1.04132872161949,1.53679392121786,0.0183877254940225,0.515946029667605,3.42139649944784e-11,63,20.0019267278539,40.1377767649723,P,*,GH
PS.BART,-0.843436896316189,1,0.979146569186546,0.428197536002854,2.238985335832,0.957335237727096,0.320140784017332,0.143783825486905,8,29.109479397683,71.6949408517765,I,*,GH
PS.DISP,-0.316174380115371,1,0.726262248880562,0.424675634064495,1.24202288014703,0.219180508237025,0.651861906792265,0.00473919137880863,10,30.834366334469,56.9221708464438,I,*,GH
PS.OLIV,-0.796477482329855,1,0.98649074828805,0.881019260149892,1.10458878764165,0.811893110856769,0.782588674515907,0,85,26.8910665037039,80.3380230949363,I,*,GH
AC.NIGR,-1.8555292791391,1,1.36619265632253,1.01197704306133,1.84439201164418,0.0420143784272236,0.517155051826943,5.1087734960209e-05,25,91.4030468574349,181.139684322613,P,*,GH
AC.OLIV,-1.74840715481039,1,1.2931742426907,0.694269066355915,2.40871976442251,0.359707767410032,0.468914518157259,0.0896264595287692,7,156.676395094056,220.604601694381,I,*,GH
CE.FLAV,-0.896521989187126,1,0.929646512712042,0.622069427932442,1.38930254372108,0.720898867366858,0.212634754459174,0.00605516532732442,34,41.7797853103848,86.5713404499915,I,*,GH
CH.SORD,-1.41235567533451,1,1.23581892890025,1.09932474756051,1.38926047868681,0.000543569450730086,0.809774473177641,0,71,69.4577181786997,282.929249906604,P,*,GH
SC.FREN,-1.89743626434601,1,1.4176241882257,1.06816278600014,1.88141579671387,0.01604009087271,0.364955168505748,3.39797510906514e-06,50,97.8226246519623,332.786175374131,P,*,GH
SC.RUBR,-1.94003865714599,1,1.41558828237662,1.09813434123763,1.82481333107528,0.0128866415085677,0.892689903469374,3.7928889098815e-05,10,87.0170954227305,419.129764065032,P,*,GH
CH.ORNA,-3.35642552342831,1,2.12268461013874,1.63496357001277,2.75589623937901,2.85576624570183e-08,0.0493183858774405,0.0589810054680058,73,98.9936139645067,145.19776560527,,,GH
CA.MELA,-0.939902014202639,1,1.03913573478994,0.885882925615714,1.21890042588522,0.605046305002797,0.962300424192836,1.90422908552534e-08,12,178.370834207241,577.965394471862,I,*,GW
AP.FURC,-0.162737678270001,1,0.800254780616583,0.651750122090305,0.982596998748181,0.0340285232672779,0.631384414315689,7.20809767429387e-09,36,192.966341161005,294.106942656094,N,*,GW
LU.BOHA,-0.34867372603655,1,0.864461197916789,0.777579288649179,0.961050755353756,0.00808009002450238,0.832121845694627,0,45,115.75899111938,580.675903879038,N,*,GW
CE.ARGU,-0.201319820153315,1,0.851401700697365,0.58386777459579,1.24152228893297,0.394157743116769,0.286207020890386,0.00853035856133344,23,158.080829830036,355.838430148425,I,*,GW
CE.UROD,-0.755317868770037,1,1.08431833184105,0.898920687004721,1.30795326191039,0.38959682316477,0.361818120711292,5.11977454267232e-05,39,70.376798658466,180.166304022115,I,*,GW
VA.LOUT,-0.452769455891667,1,0.93311049723936,0.738682399933716,1.17871388317417,0.527403136848226,0.898428298927755,2.78104605766494e-06,12,173.422617228644,542.535019292349,I,*,GW
PA.ARCA,-0.32517875236326,1,0.809796787564182,0.566316107955346,1.15795900546939,0.240394057746903,0.191024096066275,0.0327117509409764,24,41.8710428171266,97.8057217022327,I,*,GW
MO.GRAN,-1.67725403636523,1,1.37488239500431,1.10546427022451,1.70996173373282,0.00453331299035986,0.489705804572023,6.24931217885205e-11,66,125.829604375352,290.456170119998,P,*,GW
PA.INSU,-0.861423365748769,1,1.02532955737617,0.911791456078126,1.1530056508219,0.673426052355285,0.753259054229128,0,86,44.1195855674001,288.848009235844,I,*,GW
CA.TERE,-0.882645263390264,1,0.965525313191191,0.771304611412421,1.20865234904511,0.750481623462966,0.64197205895389,4.34537406990287e-06,23,141.183960748107,265.783126943099,I,*,GW
PT.TILE,-2.11829829566331,1,1.49551581983288,1.27964581508409,1.74780204100729,6.57051878882875e-06,0.81805340216028,2.21600515715181e-13,34,59.7745871202058,204.036675418374,P,*,GW
CH.VAND,-2.64573130122255,1,1.98429812228261,1.65208572983526,2.38331399332826,3.86353171677456e-11,0.479942568735911,3.15706127906878e-10,63,21.2006039372413,39.7451081073169,P,*,GW
PS.BART,-0.797048004476769,1,0.885573843569754,0.631110786065296,1.24263607868963,0.421125062187279,0.818363480935049,0.00201615005455658,8,24.1921157688284,60.6316228725783,I,*,GW
PS.DISP,-1.24345764929455,1,1.23294769129808,0.839323735604003,1.81117242965054,0.252139164703134,0.815969606567102,0.000339778184577977,10,35.2622833689649,56.0668205725466,I,*,GW
PS.OLIV,-0.979314466450434,1,1.03112997752967,0.891205217678968,1.19302379459737,0.677992389317527,0.622104752999333,0,85,27.3921421873056,76.424434229777,I,*,GW
AC.NIGR,-1.48923407242303,1,1.14093014318486,0.787704590533512,1.6525504704069,0.477752806045645,0.376317803577635,0.00111000684574769,25,93.4178838167857,172.041655660481,I,*,GW
AC.OLIV,-1.69615803475366,1,1.22081016122433,0.665394593183927,2.2398400362965,0.459678513473178,0.741015600664152,0.0128588394728899,7,156.220484211771,246.373196084271,I,*,GW
CE.FLAV,-2.05828434102672,1,1.54719638341863,1.01956409486406,2.34788245380775,0.0403080944999009,0.119873046885301,0.0448733666767784,34,42.5360126523694,83.3362340335086,P,*,GW
CH.SORD,-1.59079809732425,1,1.24334517832246,1.11620143151792,1.38497155513896,0.00013122103435359,0.736237602532455,0,71,69.809376401262,341.564362899824,P,*,GW
SC.FREN,-1.75051459335939,1,1.26938005616344,0.940896116821152,1.71254371038263,0.117748739462813,0.45736641195455,7.0357249359887e-08,50,110.643207932448,337.010041190872,I,*,GW
SC.RUBR,-1.59669418259653,1,1.21986994324136,0.894979434467948,1.66270041647193,0.180804404512732,0.97022235178367,2.17600153451514e-07,10,84.1290665881844,425.875287975891,I,*,GW
CH.ORNA,-3.32929159756276,1,2.0931801951143,1.55691861240623,2.81415052418653,9.72620177508432e-07,0.0787958299013836,0.0161486656574765,73,96.1288015297386,148.35306505448,,,GW
